"昭和６０年","人口（人）_総数_総数","人口（人）_総数_15歳未満","人口（人）_総数_15～64歳","人口（人）_総数_65歳以上","人口（人）_男_総数","人口（人）_男_15歳未満","人口（人）_男_15～64歳","人口（人）_男_65歳以上","人口（人）_女_総数","人口（人）_女_15歳未満","人口（人）_女_15～64歳","人口（人）_女_65歳以上","割合（％）_総数_15歳未満","割合（％）_総数_15～64歳","割合（％）_総数_65歳以上","割合（％）_男_15歳未満","割合（％）_男_15～64歳","割合（％）_男_65歳以上","割合（％）_女_15歳未満","割合（％）_女_15～64歳","割合（％）_女_65歳以上"
"30304_紀美野町","15037.0","2662.0","9380.0","2994.0","7174.0","1381.0","4562.0","1230.0","7863.0","1281.0","4818.0","1764.0","17.702999268471103","62.37946398882755","19.91088648001596","19.250069696124896","63.59074435461388","17.145246724282128","16.291491797024037","61.274322777565814","22.43418542541015"
"30341_かつらぎ町","23924.0","4635.0","15607.0","3682.0","11534.0","2481.0","7573.0","1480.0","12390.0","2154.0","8034.0","2202.0","19.373850526667784","65.23574653068049","15.390402942651729","21.51031732269811","65.65805444771978","12.831628229582105","17.38498789346247","64.84261501210653","17.772397094430993"
"30343_九度山町","7395.0","1391.0","4778.0","1226.0","3562.0","728.0","2327.0","507.0","3833.0","663.0","2451.0","719.0","18.81000676132522","64.61122379986477","16.578769438810006","20.437956204379564","65.32846715328468","14.233576642335766","17.29715627445865","63.94469084268197","18.75815288285938"
"30344_高野町","7054.0","994.0","4938.0","1122.0","3853.0","504.0","2886.0","463.0","3201.0","490.0","2052.0","659.0","14.09129571874114","70.00283527076836","15.905869010490504","13.080716324941605","74.9026732416299","12.016610433428497","15.307716338644173","64.10496719775071","20.587316463605124"
"30361_湯浅町","17171.0","3734.0","11053.0","2384.0","8240.0","1959.0","5354.0","927.0","8931.0","1775.0","5699.0","1457.0","21.74596703744686","64.37015898899307","13.883873973560073","23.774271844660195","64.97572815533981","11.25","19.874594110401972","63.81144328742582","16.313962602172207"
"30362_広川町","9003.0","2014.0","5837.0","1152.0","4271.0","1029.0","2756.0","486.0","4732.0","985.0","3081.0","666.0","22.37032100410974","64.83394424080862","12.79573475508164","24.092718332943104","64.52821353313041","11.37906813392648","20.81572273879966","65.10989010989012","14.074387151310228"
"30366_有田川町","30322.0","5670.0","19549.0","5093.0","14562.0","2912.0","9531.0","2113.0","15760.0","2758.0","10018.0","2980.0","18.69929424180463","64.4713409405712","16.79638546270035","19.9972531245708","65.45117428924598","14.510369454745229","17.5","63.565989847715734","18.908629441624367"
"30381_美浜町","9042.0","1831.0","5851.0","1358.0","4177.0","916.0","2713.0","547.0","4865.0","915.0","3138.0","811.0","20.249944702499448","64.70913514709136","15.018801150188011","21.929614555901363","64.95092171414892","13.095523102705291","18.80781089414183","64.50154162384378","16.670092497430627"
"30382_日高町","6975.0","1318.0","4403.0","1254.0","3300.0","685.0","2111.0","504.0","3675.0","633.0","2292.0","750.0","18.89605734767025","63.12544802867384","17.978494623655912","20.757575757575758","63.96969696969697","15.272727272727273","17.22448979591837","62.36734693877551","20.408163265306122"
"30383_由良町","9273.0","1931.0","6027.0","1315.0","4491.0","999.0","2987.0","505.0","4782.0","932.0","3040.0","810.0","20.823897336352854","64.9951472015529","14.180955462094252","22.24448897795591","66.51079937653084","11.244711645513249","19.489753241321623","63.571727310748635","16.938519447929735"
"30390_印南町","10619.0","2259.0","6646.0","1714.0","5057.0","1142.0","3210.0","705.0","5562.0","1117.0","3436.0","1009.0","21.273189565872492","62.5859308786138","16.140879555513703","22.582558829345462","63.47636938896579","13.941071781688748","20.082704063286588","61.77633944624235","18.14095649047105"
"30391_みなべ町","15261.0","3347.0","9585.0","2329.0","7326.0","1741.0","4626.0","959.0","7935.0","1606.0","4959.0","1370.0","21.931721381298736","62.807155494397485","15.26112312430378","23.764673764673766","63.14496314496314","13.090363090363091","20.23944549464398","62.49527410207939","17.265280403276623"
"30392_日高川町","12006.0","2335.0","7393.0","2278.0","5788.0","1174.0","3702.0","912.0","6218.0","1161.0","3691.0","1366.0","19.448609028818925","61.57754456105281","18.97384641012827","20.283344851416725","63.95991706979959","15.756738078783691","18.67159858475394","59.359922804760366","21.968478610485686"
"30401_白浜町","25264.0","5134.0","16332.0","3791.0","11786.0","2676.0","7554.0","1553.0","13478.0","2458.0","8778.0","2238.0","20.321405953134896","64.6453451551615","15.005541481950601","22.704904123536398","64.09299168505007","13.176650263023927","18.237127170203294","65.12835732304497","16.604837512984123"
"30404_上富田町","12702.0","3159.0","8051.0","1492.0","6196.0","1640.0","3941.0","615.0","6506.0","1519.0","4110.0","877.0","24.870099196976856","63.38371909935443","11.746181703668714","26.468689477081988","63.60555196901226","9.925758553905746","23.34767906547802","63.1724561942822","13.479864740239778"
"30406_すさみ町","6777.0","1143.0","4166.0","1468.0","3154.0","595.0","1962.0","597.0","3623.0","548.0","2204.0","871.0","16.865869853917662","61.47262800649255","21.66150213958979","18.864933417882053","62.20672162333545","18.928344958782496","15.125586530499586","60.83356334529395","24.040850124206457"
"30421_那智勝浦町","22248.0","4309.0","14403.0","3536.0","10433.0","2251.0","6768.0","1414.0","11815.0","2058.0","7635.0","2122.0","19.368033081625317","64.73840345199568","15.893563466379002","21.57576919390396","64.87108214319946","13.553148662896577","17.41853575962759","64.62124418112569","17.96022005924672"
"30422_太地町","4314.0","753.0","2728.0","833.0","1935.0","360.0","1272.0","303.0","2379.0","393.0","1456.0","530.0","17.454798331015297","63.23597589244321","19.309225776541492","18.6046511627907","65.73643410852713","15.658914728682172","16.51954602774275","61.20218579234973","22.278268179907524"
"30424_古座川町","4584.0","660.0","2805.0","1119.0","2161.0","336.0","1337.0","488.0","2423.0","324.0","1468.0","631.0","14.397905759162304","61.19109947643979","24.410994764397905","15.548357242017586","61.86950485886163","22.582137899120777","13.371853074700784","60.58605035080479","26.042096574494426"
"30427_北山村","686.0","69.0","419.0","198.0","313.0","35.0","199.0","79.0","373.0","34.0","220.0","119.0","10.058309037900875","61.07871720116618","28.86297376093295","11.182108626198083","63.578274760383394","25.23961661341853","9.115281501340483","58.98123324396782","31.903485254691688"
"30428_串本町","25148.0","4831.0","15743.0","4574.0","11705.0","2460.0","7472.0","1773.0","13443.0","2371.0","8271.0","2801.0","19.210275170987753","62.601399713694924","18.188325115317323","21.016659547202053","63.835967535241345","15.1473729175566","17.637432120806366","61.5264449899576","20.836122889236034"
